Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Hyundai,Grand i10Sportz 1.2 Kappa VTVT,2019,Bangalore,41500,petrol,manual,554000,9434.0
Maruti,ErtigaVDi,2012,Bangalore,135500,diesel,manual,426999,16240.0
Mahindra,XUV500W10 AT,2016,Bangalore,133500,diesel,automatic,857000,15316.0
Hyundai,Grand i10Asta 1.2 Kappa VTVT (O),2015,Bangalore,41500,petrol,manual,459000,8354.0
Hyundai,Creta1.6 SX Plus Auto Petrol,2016,Bangalore,59000,petrol,automatic,926000,15769.0
Maruti,BalenoZeta,2020,Bangalore,51000,petrol,manual,627000,10677.0
Maruti,IgnisSigma 1.2 MT,2021,Bangalore,14000,petrol,manual,499000,8497.0
Maruti,BalenoZeta 1.2,2016,Bangalore,80500,petrol,manual,537000,9144.0
Maruti,IgnisSigma 1.2 MT,2024,Bangalore,2500,petrol,manual,564000,9604.0
Mahindra,XUV500W6,2015,Bangalore,119500,diesel,manual,807000,15358.0
Hyundai,Elite i20Asta 1.2,2015,Bangalore,24000,petrol,manual,555000,10102.0
Volkswagen,PoloGT TSI,2016,Bangalore,114000,petrol,automatic,596000,9515.0
Hyundai,Grand i10 NiosMagna AMT 1.2 Kappa VTVT,2020,Bangalore,20500,petrol,automatic,596000,10149.0
Mahindra,XUV 300W8 (O) AMT Petrol,2023,Bangalore,12000,petrol,automatic,1141000,19622.0
Jeep,CompassLimited (O) 1.4 Petrol DCT,2021,Bangalore,35000,petrol,automatic,2100000,36116.0
Jeep,CompassNight Eagle (O) 1.4 Petrol DCT,2022,Bangalore,16000,petrol,automatic,1989999,34225.0
Jeep,CompassSport 1.4 Petrol,2021,Bangalore,28500,petrol,manual,1475000,25367.0
Kia,SeltosGTX Plus DCT,2021,Bangalore,76000,petrol,automatic,1321000,22719.0
Maruti,Vitara BrezzaZDi+ Dual Tone,2018,Bangalore,90000,diesel,manual,821000,13981.0
MG,GlosterSavvy 2.0 Twin Turbo 6 STR 4WD,2021,Bangalore,59000,diesel,automatic,3250000,55896.0
Jeep,CompassLimited (O) 1.4 Petrol DCT,2022,Bangalore,52000,petrol,automatic,2200000,37836.0
Hyundai,Elite i20Asta 1.2,2015,Bangalore,59000,petrol,manual,568000,10338.0
Kia,SeltosHTX IVT G,2022,Bangalore,41000,petrol,automatic,1441000,24782.0
Ford,Figo AspireTitanium Plus 1.5 TDCi,2016,Bangalore,62000,diesel,manual,454000,7248.0
Renault,DusterRXL Petrol,2016,Bangalore,71500,petrol,manual,480000,8174.0
Maruti,A-StarVxi,2012,Bangalore,46500,petrol,manual,206999,7380.0
Renault,TriberRXZ,2020,Bangalore,43500,petrol,manual,559000,9519.0
Maruti,Grand VitaraAlpha Plus Intelligent Hybrid eCVT,2023,Bangalore,39500,hybrid,automatic,1673999,
Mahindra,XUV500W9,2019,Bangalore,102500,diesel,manual,1163000,21000.0
Mercedes,E-ClassE220d Avantgarde,2018,Bangalore,36500,diesel,automatic,3750000,64496.0
Maruti,Alto K10VXi,2015,Bangalore,64000,petrol,manual,310000,5642.0
Tata,NexonXZ Plus LUXS Diesel,2023,Bangalore,57500,diesel,manual,1187000,20413.0
Audi,A635 TDI S LINE Matrix,2019,Bangalore,43500,diesel,automatic,2750000,47296.0
Jeep,Compass80 Anniversary 1.4 Petrol DCT,2021,Bangalore,30000,petrol,automatic,2075000,35686.0
Tata,TiagoXTA,2024,Bangalore,8500,petrol,automatic,691000,11767.0
Renault,KigerRXZ Turbo MT,2022,Bangalore,32000,petrol,manual,799000,13606.0
Hyundai,Creta1.6 SX AT VTVT,2019,Bangalore,46000,petrol,automatic,1059000,18212.0
